timestamp,container,cpu_perc,mem_mib
1769547558.542708,dave,0.76,26.68
1769547558.542708,orchestrator,0.00,17.35
1769547561.6220994,alice,0.19,28.18
1769547561.6220994,bob,0.73,26.71
1769547561.6220994,carol,0.24,28.58
1769547561.6220994,dave,1.20,26.69
1769547561.6220994,orchestrator,0.00,17.35
1769547564.7018318,alice,0.23,28.3
1769547564.7018318,bob,0.86,26.7
1769547564.7018318,carol,0.08,28.56
1769547564.7018318,dave,0.61,26.67
1769547564.7018318,orchestrator,0.00,17.35
1769547567.7819715,alice,0.86,28.49
1769547567.7819715,bob,0.82,26.94
1769547567.7819715,carol,0.18,28.63
1769547567.7819715,dave,0.95,26.96
1769547567.7819715,orchestrator,2.12,17.37
1769547570.8618584,alice,0.18,28.41
1769547570.8618584,bob,0.83,27.04
1769547570.8618584,carol,2.06,28.68
1769547570.8618584,dave,2.53,26.94
1769547570.8618584,orchestrator,0.44,17.35
1769547573.9393053,alice,0.25,28.34
1769547573.9393053,bob,1.01,26.7
1769547573.9393053,carol,0.19,28.71
1769547573.9393053,dave,0.79,26.76
1769547573.9393053,orchestrator,0.02,17.35
1769547577.0221276,alice,0.26,28.47
1769547577.0221276,bob,1.07,26.71
1769547577.0221276,carol,0.23,28.59
1769547577.0221276,dave,1.14,26.68
1769547577.0221276,orchestrator,0.00,17.35
1769547580.099664,alice,0.10,28.42
1769547580.099664,bob,0.77,26.71
1769547580.099664,carol,0.12,28.56
1769547580.099664,dave,0.47,26.68
1769547580.099664,orchestrator,0.00,17.35
1769547583.176019,alice,0.27,28.28
1769547583.176019,bob,0.98,26.81
1769547583.176019,carol,0.14,28.43
1769547583.176019,dave,0.78,26.69
1769547583.176019,orchestrator,0.00,17.35
1769547586.25543,alice,0.28,28.72
1769547586.25543,bob,1.03,26.74
1769547586.25543,carol,0.16,28.39
1769547586.25543,dave,1.19,26.95
1769547586.25543,orchestrator,2.52,17.35
1769547589.3341901,alice,0.12,28.39
1769547589.3341901,bob,0.73,26.72
1769547589.3341901,carol,0.79,28.51
1769547589.3341901,dave,0.98,27.18
1769547589.3341901,orchestrator,1.47,17.35
1769547592.4118216,alice,0.17,28.23
1769547592.4118216,bob,1.27,26.98
1769547592.4118216,carol,0.37,28.81
1769547592.4118216,dave,1.00,27.14
1769547592.4118216,orchestrator,0.44,17.35
1769547595.489844,alice,0.26,28.36
1769547595.489844,bob,1.20,27.19
1769547595.489844,carol,0.14,28.65
1769547595.489844,dave,0.86,26.75
1769547595.489844,orchestrator,0.00,17.35
1769547598.5666761,alice,0.29,28.3
1769547598.5666761,bob,1.06,27.09
1769547598.5666761,carol,0.16,28.62
1769547598.5666761,dave,0.87,26.71
1769547598.5666761,orchestrator,0.00,17.35
1769547601.6477146,alice,0.23,28.47
1769547601.6477146,bob,1.19,26.74
1769547601.6477146,carol,0.08,28.77
1769547601.6477146,dave,0.67,26.97
1769547601.6477146,orchestrator,0.39,17.66
1769547604.7248123,alice,0.01,25.96
1769547604.7248123,bob,0.01,26.59
1769547604.7248123,carol,0.01,25.94
1769547604.7248123,dave,0.01,26.57
1769547604.7248123,orchestrator,0.88,17.35
1769547607.8058603,alice,0.01,25.99
1769547607.8058603,bob,0.01,26.6
1769547607.8058603,carol,0.01,26.2
1769547607.8058603,dave,0.01,26.84
1769547607.8058603,orchestrator,1.84,17.35
1769547610.8816535,alice,0.01,25.99
1769547610.8816535,bob,0.01,26.74
1769547610.8816535,carol,0.01,25.96
1769547610.8816535,dave,0.01,26.51
1769547610.8816535,orchestrator,0.02,17.35
1769547613.9470923,alice,2.25,26.62
1769547613.9470923,bob,0.89,27
1769547613.9470923,carol,2.37,26.6
1769547613.9470923,dave,0.89,26.54
1769547613.9470923,orchestrator,0.00,17.35
1769547617.022864,alice,2.23,26.63
1769547617.022864,bob,0.89,27.01
1769547617.022864,carol,2.25,26.61
1769547617.022864,dave,0.90,26.53
1769547617.022864,orchestrator,0.00,17.35
1769547620.098561,alice,2.28,26.89
1769547620.098561,bob,0.85,26.98
1769547620.098561,carol,2.22,26.61
1769547620.098561,dave,0.86,26.53
1769547620.098561,orchestrator,1.16,17.42
1769547623.1755257,alice,3.68,26.66
1769547623.1755257,bob,1.15,26.77
1769547623.1755257,carol,2.36,26.66
1769547623.1755257,dave,0.90,26.54
1769547623.1755257,orchestrator,0.43,17.36
1769547626.2515025,alice,2.22,26.66
1769547626.2515025,bob,0.87,27.03
1769547626.2515025,carol,3.67,27.09
1769547626.2515025,dave,0.89,26.54
1769547626.2515025,orchestrator,0.00,17.35
1769547629.3270109,alice,2.24,26.92
1769547629.3270109,bob,0.87,27.01
1769547629.3270109,carol,2.32,26.66
1769547629.3270109,dave,0.87,26.54
1769547629.3270109,orchestrator,0.00,17.35
1769547632.40492,alice,2.34,26.92
1769547632.40492,bob,1.07,26.78
1769547632.40492,carol,2.31,26.66
1769547632.40492,dave,1.03,26.54
1769547632.40492,orchestrator,0.00,17.35
1769547635.4804094,alice,2.31,26.68
1769547635.4804094,bob,0.88,27.02
1769547635.4804094,carol,2.27,26.67
1769547635.4804094,dave,0.90,27.02
1769547635.4804094,orchestrator,0.00,17.35
1769547638.55756,alice,2.19,26.69
1769547638.55756,bob,0.87,26.78
1769547638.55756,carol,2.32,26.68
1769547638.55756,dave,0.87,26.79
1769547638.55756,orchestrator,0.00,17.35
1769547641.634851,alice,3.52,26.73
1769547641.634851,bob,1.16,26.79
1769547641.634851,carol,2.26,26.68
1769547641.634851,dave,0.90,26.54
1769547641.634851,orchestrator,0.00,17.6
1769547644.7112272,alice,2.23,26.72
1769547644.7112272,bob,0.86,26.79
1769547644.7112272,carol,3.58,26.71
1769547644.7112272,dave,1.10,26.6
1769547644.7112272,orchestrator,0.00,17.6
1769547647.7866352,alice,2.30,26.73
1769547647.7866352,bob,0.90,27.03
1769547647.7866352,carol,2.20,26.97
1769547647.7866352,dave,0.87,26.59
1769547647.7866352,orchestrator,0.00,17.35
1769547650.862638,alice,2.24,26.73
1769547650.862638,bob,0.84,27.04
1769547650.862638,carol,2.22,26.73
1769547650.862638,dave,0.86,26.83
1769547650.862638,orchestrator,0.00,17.35
1769547653.9379563,alice,2.18,26.74
1769547653.9379563,bob,0.86,27.03
1769547653.9379563,carol,2.14,26.97
1769547653.9379563,dave,0.90,26.59
1769547653.9379563,orchestrator,0.00,17.35
1769547657.012933,alice,4.28,26.97
1769547657.012933,bob,2.21,26.79
1769547657.012933,carol,2.27,26.73
1769547657.012933,dave,0.92,26.59
1769547657.012933,orchestrator,2.21,17.36
1769547660.0899634,alice,2.27,26.79
1769547660.0899634,bob,0.92,26.8
1769547660.0899634,carol,3.51,27.97
1769547660.0899634,dave,0.87,26.59
1769547660.0899634,orchestrator,0.44,17.36
1769547663.1645205,alice,2.22,26.87
1769547663.1645205,bob,0.89,26.82
1769547663.1645205,carol,3.62,27.05
1769547663.1645205,dave,1.14,26.61
1769547663.1645205,orchestrator,0.00,17.61
1769547666.24385,alice,2.26,26.8
1769547666.24385,bob,0.90,26.82
1769547666.24385,carol,2.31,26.77
1769547666.24385,dave,0.87,26.61
1769547666.24385,orchestrator,0.00,17.36
1769547669.321157,alice,2.21,26.81
1769547669.321157,bob,0.89,26.85
1769547669.321157,carol,2.15,26.78
1769547669.321157,dave,0.88,26.86
1769547669.321157,orchestrator,0.00,17.36
1769547672.3996089,alice,2.39,26.83
1769547672.3996089,bob,1.05,26.88
1769547672.3996089,carol,2.49,26.86
1769547672.3996089,dave,1.04,26.6
1769547672.3996089,orchestrator,0.00,17.36
1769547675.4762347,alice,2.89,26.83
1769547675.4762347,bob,2.17,26.82
1769547675.4762347,carol,2.27,26.79
1769547675.4762347,dave,0.93,26.6
1769547675.4762347,orchestrator,2.20,17.39
1769547678.5523674,alice,2.32,26.86
1769547678.5523674,bob,0.91,26.86
1769547678.5523674,carol,4.12,26.81
1769547678.5523674,dave,2.19,26.62
1769547678.5523674,orchestrator,0.43,17.36
1769547681.6286745,alice,2.28,26.87
1769547681.6286745,bob,0.91,26.88
1769547681.6286745,carol,2.27,26.84
1769547681.6286745,dave,0.92,26.85
1769547681.6286745,orchestrator,0.49,17.36
1769547684.7050781,alice,2.38,26.86
1769547684.7050781,bob,0.90,27.1
1769547684.7050781,carol,2.31,26.85
1769547684.7050781,dave,0.86,26.62
1769547684.7050781,orchestrator,0.00,17.36
1769547687.782886,alice,2.20,26.87
1769547687.782886,bob,0.87,26.85
1769547687.782886,carol,2.20,26.86
1769547687.782886,dave,0.87,27.12
1769547687.782886,orchestrator,0.00,17.36
1769547690.8579195,alice,2.40,26.87
1769547690.8579195,bob,1.00,27.1
1769547690.8579195,carol,2.43,26.86
1769547690.8579195,dave,0.94,26.87
1769547690.8579195,orchestrator,0.00,17.36
1769547693.9360764,alice,2.32,27.12
1769547693.9360764,bob,0.94,26.86
1769547693.9360764,carol,2.31,26.87
1769547693.9360764,dave,0.96,26.87
1769547693.9360764,orchestrator,2.29,17.61
1769547697.0124843,alice,2.36,26.92
1769547697.0124843,bob,0.96,26.87
1769547697.0124843,carol,3.09,26.89
1769547697.0124843,dave,1.84,26.88
1769547697.0124843,orchestrator,1.32,17.62
1769547700.0939145,alice,2.38,26.93
1769547700.0939145,bob,1.01,27.11
1769547700.0939145,carol,3.70,27.41
1769547700.0939145,dave,0.96,26.64
1769547700.0939145,orchestrator,0.46,17.36
1769547703.173871,alice,2.32,26.92
1769547703.173871,bob,1.13,27.35
1769547703.173871,carol,2.35,26.91
1769547703.173871,dave,0.95,26.88
1769547703.173871,orchestrator,0.00,17.36
1769547706.2555933,alice,2.46,26.93
1769547706.2555933,bob,1.01,26.86
